time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-05 10:53:43.735,17.853,20.195,17.853,20.195,0.0
2026-05-05 10:53:44.800,17.88,20.216,17.855,20.218,0.025
2026-05-05 10:53:45.890,18.19,20.21,18.19,20.452,0.242
2026-05-05 10:53:46.991,18.672,20.282,18.672,20.452,0.17
2026-05-05 10:53:48.095,19.123,20.433,19.123,20.452,0.019
2026-05-05 10:53:49.098,19.39,20.508,19.39,20.452,0.056
2026-05-05 10:53:50.189,19.573,20.704,19.597,20.707,0.023
2026-05-05 10:53:51.289,19.663,21.144,19.544,21.13,0.119
2026-05-05 10:53:52.299,19.625,21.551,19.494,21.535,0.131
2026-05-05 10:53:53.301,19.488,22.206,19.413,22.197,0.076
2026-05-05 10:53:54.391,19.366,22.691,19.352,22.689,0.014
2026-05-05 10:53:55.495,19.304,23.119,19.299,23.118,0.006
2026-05-05 10:53:56.594,19.268,23.448,19.258,23.446,0.01
2026-05-05 10:53:57.607,19.228,23.744,19.222,23.743,0.007

Avg error: 0.064m | Max error: 0.242m
