time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-07 16:21:48.387,17.981,20.276,17.981,20.276,0.0
2026-05-07 16:21:48.415,17.981,20.276,17.981,20.276,0.0
2026-05-07 16:21:48.454,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.494,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.514,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.534,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.574,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.594,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.615,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.635,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.674,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.694,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.714,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.755,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.794,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.834,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.854,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.894,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.914,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.957,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:48.999,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:49.034,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:49.074,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:49.094,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:49.134,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:49.154,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:49.174,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:49.211,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:49.234,17.981,20.276,17.981,20.452,0.176
2026-05-07 16:21:49.280,17.981,20.276,17.981,20.452,0.176
