time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-06 16:21:02.612,18.846,25.888,19.084,25.941,0.244
2026-05-06 16:21:03.631,18.676,25.913,19.084,25.941,0.409
2026-05-06 16:21:04.715,18.408,25.958,19.084,25.941,0.676
2026-05-06 16:21:05.831,17.893,26.081,19.084,25.941,1.199
2026-05-06 16:21:06.931,17.279,26.26,19.093,26.004,1.832
2026-05-06 16:21:08.035,16.906,26.29,19.09,25.982,2.205
2026-05-06 16:21:09.148,16.129,26.295,19.084,25.941,2.976
2026-05-06 16:21:10.231,15.723,26.284,19.084,25.941,3.379
2026-05-06 16:21:11.333,15.385,26.271,19.084,25.941,3.713
2026-05-06 16:21:12.433,15.086,26.264,19.084,25.941,4.011
2026-05-06 16:21:13.433,14.786,26.258,19.084,25.941,4.309

Avg error: 2.268m | Max error: 4.309m
