time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-06 15:54:59.520,14.095,26.248,14.269,26.252,0.174
2026-05-06 15:55:00.521,13.971,26.225,13.971,26.252,0.027
2026-05-06 15:55:01.523,13.763,26.192,13.871,26.182,0.109
2026-05-06 15:55:02.524,13.505,26.044,13.855,26.01,0.352
2026-05-06 15:55:03.605,13.371,25.779,13.828,25.735,0.459
2026-05-06 15:55:04.703,13.375,25.481,13.799,25.44,0.426
2026-05-06 15:55:05.792,13.411,25.335,13.786,25.299,0.377
2026-05-06 15:55:06.888,13.665,24.97,13.753,24.961,0.089
2026-05-06 15:55:07.889,13.935,24.795,13.93,24.693,0.103
2026-05-06 15:55:08.982,14.529,24.624,14.531,24.665,0.041
2026-05-06 15:55:09.990,14.792,24.59,14.795,24.653,0.063
2026-05-06 15:55:11.089,15.427,24.564,15.429,24.623,0.06
2026-05-06 15:55:12.190,15.778,24.569,15.78,24.607,0.038
2026-05-06 15:55:13.288,16.863,24.559,16.863,24.557,0.002
2026-05-06 15:55:14.373,17.266,24.541,17.266,24.538,0.003
2026-05-06 15:55:15.489,17.598,24.527,17.598,24.523,0.004
2026-05-06 15:55:16.572,18.079,24.505,18.078,24.501,0.004
2026-05-06 15:55:17.573,18.376,24.489,18.376,24.487,0.003
2026-05-06 15:55:18.655,18.649,24.467,18.65,24.474,0.007
2026-05-06 15:55:19.656,18.92,24.358,18.925,24.461,0.104
2026-05-06 15:55:20.755,19.114,24.141,19.128,24.141,0.014
2026-05-06 15:55:21.839,19.212,23.852,19.128,23.852,0.084
2026-05-06 15:55:22.839,19.251,23.428,19.128,23.428,0.123
2026-05-06 15:55:23.937,19.207,22.792,19.128,22.792,0.079
2026-05-06 15:55:25.038,19.146,22.014,19.128,22.014,0.018
2026-05-06 15:55:26.122,19.133,21.64,19.128,21.64,0.005
2026-05-06 15:55:27.237,19.133,21.64,19.128,21.64,0.005
2026-05-06 15:55:28.322,19.124,21.306,19.128,21.306,0.004
2026-05-06 15:55:29.420,19.062,20.745,19.128,20.745,0.066
2026-05-06 15:55:30.523,18.773,20.428,19.128,20.452,0.356

Avg error: 0.107m | Max error: 0.459m
