time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-06 16:31:32.735,18.184,20.251,17.933,20.232,0.252
2026-05-06 16:31:33.761,18.291,20.258,17.933,20.232,0.359
2026-05-06 16:31:34.861,18.302,20.255,17.933,20.232,0.37
2026-05-06 16:31:35.960,18.298,20.25,17.933,20.232,0.365
2026-05-06 16:31:37.046,18.298,20.255,17.933,20.232,0.366
2026-05-06 16:31:38.146,18.309,20.338,17.93,20.244,0.391
2026-05-06 16:31:39.232,18.419,20.739,17.878,20.452,0.612
2026-05-06 16:31:40.328,18.62,21.074,18.62,20.452,0.622
2026-05-06 16:31:41.444,18.969,21.551,18.969,20.452,1.099
2026-05-06 16:31:42.528,19.102,21.837,19.102,20.452,1.385
2026-05-06 16:31:43.644,19.178,22.254,19.128,20.452,1.802
2026-05-06 16:31:44.679,19.175,22.985,19.128,22.985,0.047
2026-05-06 16:31:45.778,19.159,23.331,19.128,23.331,0.031
2026-05-06 16:31:46.894,19.148,23.634,19.128,23.634,0.02
2026-05-06 16:31:47.978,19.14,23.981,19.128,23.981,0.012
2026-05-06 16:31:49.077,19.139,24.63,19.128,24.452,0.178
2026-05-06 16:31:50.176,19.134,25.386,19.128,25.386,0.006

Avg error: 0.466m | Max error: 1.802m
