time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-06 16:05:17.597,17.608,20.398,17.579,20.386,0.032
2026-05-06 16:05:18.654,17.664,20.423,17.668,20.406,0.018
2026-05-06 16:05:19.754,17.671,20.43,17.878,20.452,0.209
2026-05-06 16:05:20.854,17.672,20.436,17.878,20.452,0.206
2026-05-06 16:05:21.955,17.672,20.439,17.878,20.452,0.206
2026-05-06 16:05:23.052,17.671,20.441,17.878,20.452,0.207
2026-05-06 16:05:24.136,17.582,20.508,17.878,20.452,0.301
2026-05-06 16:05:25.236,17.473,20.589,17.878,20.452,0.428
2026-05-06 16:05:26.336,17.275,20.98,17.878,20.452,0.801
2026-05-06 16:05:27.421,17.327,21.269,17.878,20.452,0.985
2026-05-06 16:05:28.448,17.502,21.503,17.878,20.452,1.116
2026-05-06 16:05:29.451,17.76,21.631,17.878,20.452,1.185
2026-05-06 16:05:30.452,18.047,21.621,18.047,20.452,1.169
2026-05-06 16:05:31.568,18.299,21.483,18.299,20.452,1.031
2026-05-06 16:05:32.652,18.8,20.962,18.8,20.452,0.51
2026-05-06 16:05:33.769,19.119,20.462,19.119,20.452,0.01
2026-05-06 16:05:34.868,19.202,20.116,19.191,20.114,0.012
2026-05-06 16:05:35.951,19.218,19.605,19.283,19.617,0.066
2026-05-06 16:05:37.052,19.339,18.904,19.412,18.917,0.074
2026-05-06 16:05:38.138,19.498,18.331,19.52,18.335,0.022
2026-05-06 16:05:39.236,19.596,17.889,19.602,17.891,0.007
2026-05-06 16:05:40.334,19.668,17.547,19.666,17.547,0.002
2026-05-06 16:05:41.418,19.723,17.252,19.721,17.252,0.003
2026-05-06 16:05:42.534,19.821,16.699,19.823,16.7,0.002
2026-05-06 16:05:43.635,19.894,16.155,19.878,16.402,0.248

Avg error: 0.354m | Max error: 1.185m
