time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-06 16:05:57.619,19.788,15.056,19.767,14.978,0.081
2026-05-06 16:05:58.619,19.851,15.357,19.828,15.302,0.059
2026-05-06 16:05:59.633,19.903,15.596,19.841,15.598,0.062
2026-05-06 16:06:00.717,19.937,15.989,19.859,15.992,0.077
2026-05-06 16:06:01.816,19.927,16.193,19.869,16.196,0.059
2026-05-06 16:06:02.916,19.78,17.171,19.737,17.163,0.044
2026-05-06 16:06:03.916,19.611,17.918,19.598,17.915,0.014
2026-05-06 16:06:05.014,19.442,18.743,19.444,18.744,0.002
2026-05-06 16:06:06.106,19.367,19.141,19.371,19.141,0.004
2026-05-06 16:06:07.200,19.304,19.481,19.308,19.482,0.004
2026-05-06 16:06:08.301,19.252,19.778,19.253,19.779,0.001
2026-05-06 16:06:09.387,19.168,20.062,19.199,20.068,0.031
2026-05-06 16:06:10.482,18.967,20.285,19.153,20.319,0.189
2026-05-06 16:06:11.583,18.512,20.456,18.512,20.452,0.004

Avg error: 0.045m | Max error: 0.189m
