time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-06 16:21:30.891,14.125,26.248,14.265,26.254,0.14
2026-05-06 16:21:31.947,13.985,26.234,13.985,26.253,0.018
2026-05-06 16:21:33.047,13.845,26.187,13.871,26.184,0.026
2026-05-06 16:21:34.146,13.451,25.868,13.837,25.83,0.388
2026-05-06 16:21:35.231,13.401,25.602,13.811,25.562,0.412
2026-05-06 16:21:36.329,13.449,25.303,13.783,25.27,0.335
2026-05-06 16:21:37.429,13.58,25.035,13.759,25.017,0.179
2026-05-06 16:21:38.512,13.951,24.773,13.737,24.794,0.215
2026-05-06 16:21:39.610,13.951,24.773,13.947,24.692,0.081
2026-05-06 16:21:40.698,14.826,24.588,14.829,24.651,0.063
2026-05-06 16:21:41.812,14.826,24.588,14.829,24.651,0.063
2026-05-06 16:21:42.912,16.16,24.576,16.161,24.589,0.013
2026-05-06 16:21:43.995,16.744,24.563,16.744,24.562,0.001
2026-05-06 16:21:45.096,17.325,24.54,17.325,24.535,0.004
2026-05-06 16:21:46.195,17.682,24.524,17.682,24.519,0.005
2026-05-06 16:21:47.279,17.979,24.508,17.979,24.505,0.003
2026-05-06 16:21:48.378,18.28,24.495,18.28,24.491,0.004
2026-05-06 16:21:49.478,18.581,24.478,18.581,24.477,0.0
2026-05-06 16:21:50.578,18.976,24.293,18.984,24.459,0.165
2026-05-06 16:21:51.679,19.135,24.053,19.128,24.053,0.007
2026-05-06 16:21:52.779,19.212,23.723,19.128,23.723,0.084
2026-05-06 16:21:53.880,19.228,23.217,19.128,23.217,0.1
2026-05-06 16:21:54.980,19.177,22.575,19.128,22.575,0.049
2026-05-06 16:21:56.079,19.145,21.854,19.128,21.854,0.017
2026-05-06 16:21:57.178,19.137,21.516,19.128,21.516,0.009
2026-05-06 16:21:58.197,19.134,21.218,19.128,21.218,0.006
2026-05-06 16:21:59.298,19.118,20.916,19.128,20.916,0.01
2026-05-06 16:22:00.394,19.001,20.648,19.128,20.648,0.127
2026-05-06 16:22:01.480,18.783,20.457,18.783,20.452,0.005

Avg error: 0.087m | Max error: 0.412m
