time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-09 20:12:10.040,1.37,-7.355,1.37,-7.355,0.0
2026-05-09 20:12:10.074,1.37,-7.355,1.37,-7.355,0.0
2026-05-09 20:12:10.094,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.134,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.154,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.199,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.234,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.254,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.295,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.340,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.374,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.394,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.416,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.454,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.475,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.514,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.534,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.574,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.594,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.635,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.674,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.694,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.734,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.774,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.794,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.834,1.37,-7.355,1.39,-7.355,0.02
2026-05-09 20:12:10.854,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:10.894,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:10.934,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:10.955,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:10.994,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:11.034,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:11.054,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:11.094,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:11.114,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:11.134,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:11.174,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:11.194,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:11.234,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:11.274,1.385,-7.171,1.39,-7.171,0.005
2026-05-09 20:12:11.297,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.334,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.354,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.374,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.414,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.455,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.494,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.514,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.554,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.594,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.634,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.674,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.694,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.714,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.734,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.755,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.794,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.814,1.387,-6.935,1.39,-6.935,0.003
2026-05-09 20:12:11.834,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:11.874,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:11.894,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:11.934,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:11.974,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:12.014,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:12.054,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:12.074,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:12.094,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:12.134,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:12.173,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:12.194,1.378,-6.647,1.39,-6.647,0.012
2026-05-09 20:12:12.233,1.378,-6.647,1.39,-6.647,0.012
