time,actual_x,actual_y,plan_x,plan_y,error_m
2026-05-09 20:11:34.602,-0.018,-0.032,-0.018,-0.032,0.0
2026-05-09 20:11:34.624,-0.018,-0.032,-0.018,-0.032,0.0
2026-05-09 20:11:34.664,-0.018,-0.032,-0.046,-0.066,0.044
2026-05-09 20:11:34.699,-0.018,-0.032,-0.046,-0.066,0.044
2026-05-09 20:11:34.729,-0.018,-0.032,-0.046,-0.066,0.044
2026-05-09 20:11:34.761,-0.018,-0.032,-0.046,-0.066,0.044
2026-05-09 20:11:34.808,-0.018,-0.032,-0.046,-0.066,0.044
2026-05-09 20:11:34.839,-0.018,-0.032,-0.046,-0.066,0.044
2026-05-09 20:11:34.869,-0.018,-0.032,-0.046,-0.066,0.044
2026-05-09 20:11:34.901,-0.018,-0.032,-0.046,-0.066,0.044
2026-05-09 20:11:34.931,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:34.962,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:35.009,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:35.040,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:35.070,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:35.101,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:35.148,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:35.179,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:35.210,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:35.241,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:35.288,0.012,-0.031,-0.029,-0.08,0.064
2026-05-09 20:11:35.366,0.123,-0.026,0.035,-0.132,0.138
2026-05-09 20:11:35.410,0.123,-0.026,0.035,-0.132,0.138
2026-05-09 20:11:35.466,0.123,-0.026,0.035,-0.132,0.138
2026-05-09 20:11:35.535,0.123,-0.026,0.035,-0.132,0.138
2026-05-09 20:11:35.588,0.123,-0.026,0.035,-0.132,0.138
2026-05-09 20:11:35.612,0.123,-0.026,0.035,-0.132,0.138
2026-05-09 20:11:35.637,0.123,-0.026,0.035,-0.132,0.138
2026-05-09 20:11:35.679,0.123,-0.026,0.035,-0.132,0.138
2026-05-09 20:11:35.717,0.123,-0.026,0.035,-0.132,0.138
2026-05-09 20:11:35.757,0.123,-0.026,0.035,-0.132,0.138
2026-05-09 20:11:35.781,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:35.817,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:35.837,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:35.857,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:35.888,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:35.917,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:35.937,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:35.978,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.017,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.057,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.077,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.098,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.137,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.157,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.197,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.218,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.257,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.278,0.269,-0.027,0.122,-0.205,0.231
2026-05-09 20:11:36.322,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.357,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.397,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.417,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.446,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.477,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.497,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.537,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.558,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.597,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.637,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.677,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.717,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.757,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.797,0.411,-0.061,0.223,-0.288,0.295
2026-05-09 20:11:36.837,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:36.878,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:36.917,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:36.957,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:36.997,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:37.017,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:37.037,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:37.058,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:37.101,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:37.137,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:37.158,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:37.178,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:37.217,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:37.237,0.541,-0.131,0.335,-0.381,0.324
2026-05-09 20:11:37.277,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.298,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.318,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.357,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.397,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.417,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.457,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.497,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.517,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.543,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.578,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.617,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.637,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.657,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.697,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.737,0.655,-0.229,0.45,-0.476,0.321
2026-05-09 20:11:37.760,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:37.797,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:37.817,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:37.838,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:37.877,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:37.897,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:37.917,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:37.937,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:37.977,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:37.998,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:38.037,0.758,-0.343,0.567,-0.573,0.299
2026-05-09 20:11:38.057,0.758,-0.343,0.567,-0.573,0.299
